tburn_s,thrust_N,empty_rocket_mass_kg,motor_dry_mass_without_tank_kg,apogee_altitude_AGL_m,rail_exit_velocity_mps
7.5,3000,18,15,6264.28981034431,32.2766939923878
7.5,3000,18,18.3333333333333,5988.5223724459,31.0065989348267
7.5,3000,18,21.6666666666667,5682.19272052713,29.8341131643653
7.5,3000,18,25,5320.84897507206,28.7544885986648
7.5,3000,20.3333333333333,15,6067.79251201047,31.3761194467981
7.5,3000,20.3333333333333,18.3333333333333,5779.13599757582,30.1640517439704
7.5,3000,20.3333333333333,21.6666666666667,5434.44190134942,29.0634479320816
7.5,3000,20.3333333333333,25,5032.9780278748,28.050326006456
7.5,3000,22.6666666666667,15,5871.33889777505,30.5197856235466
7.5,3000,22.6666666666667,18.3333333333333,5542.8664701637,29.383643080343
7.5,3000,22.6666666666667,21.6666666666667,5158.12460472413,28.4079830236404
7.5,3000,22.6666666666667,25,4724.44351113667,27.3940269281228
7.5,3000,25,15,5645.81891154716,29.7245378060324
7.5,3000,25,18.3333333333333,5278.79680385688,28.6532359273057
7.5,3000,25,21.6666666666667,4856.59740635652,27.6753088851744
7.5,3000,25,25,4424.34338022105,26.919580819929
7.5,3200,18,15,6609.93740590657,33.2534990607884
7.5,3200,18,18.3333333333333,6307.89509324372,31.8945587402487
7.5,3200,18,21.6666666666667,6029.18612116041,30.6945649847457
7.5,3200,18,25,5713.46152611921,29.613843543682
7.5,3200,20.3333333333333,15,6394.8220206262,32.3445846769741
7.5,3200,20.3333333333333,18.3333333333333,6112.03202149432,31.0294340900703
7.5,3200,20.3333333333333,21.6666666666667,5812.25355334886,30.0750801951182
7.5,3200,20.3333333333333,25,5464.04212053634,28.9053897732729
7.5,3200,22.6666666666667,15,6192.74802620415,31.3846737019311
7.5,3200,22.6666666666667,18.3333333333333,5906.82355104478,30.2440229929987
7.5,3200,22.6666666666667,21.6666666666667,5572.73946967121,29.2036288746954
7.5,3200,22.6666666666667,25,5190.7461553159,28.31282981293
7.5,3200,25,15,5997.22571530374,30.7257198969234
7.5,3200,25,18.3333333333333,5676.81951194186,29.5050606836055
7.5,3200,25,21.6666666666667,5309.26358520082,28.5289061808174
7.5,3200,25,25,4897.22019641456,27.7824263727335
7.5,3400,18,15,6968.18943556269,33.9436438268326
7.5,3400,18,18.3333333333333,6642.50463930737,32.8147976608205
7.5,3400,18,21.6666666666667,6342.22955174973,31.5955558510163
7.5,3400,18,25,6059.46474076114,30.4239764538811
7.5,3400,20.3333333333333,15,6736.49924496392,33.0416407895642
7.5,3400,20.3333333333333,18.3333333333333,6428.5280626643,31.9753961779193
7.5,3400,20.3333333333333,21.6666666666667,6146.14334526735,30.7466470015013
7.5,3400,20.3333333333333,25,5837.32323965141,29.7258682843281
7.5,3400,22.6666666666667,15,6517.08839236725,32.2017630178673
7.5,3400,22.6666666666667,18.3333333333333,6228.17928574269,31.0593351714619
7.5,3400,22.6666666666667,21.6666666666667,5933.71770893832,30.1285908273728
7.5,3400,22.6666666666667,25,5596.78900247248,29.0460265966285
7.5,3400,25,15,6310.98090091349,31.3916995479109
7.5,3400,25,18.3333333333333,6026.29136083669,30.3211314139297
7.5,3400,25,21.6666666666667,5701.2072438984,29.3281401264426
7.5,3400,25,25,5335.81906933027,28.4184201431698
7.5,3600,18,15,7336.86101271931,34.7033603404821
7.5,3600,18,18.3333333333333,6989.3035075848,33.4825907646871
7.5,3600,18,21.6666666666667,6665.88707719979,32.2565714585247
7.5,3600,18,25,6369.00433434835,31.1944482275251
7.5,3600,20.3333333333333,15,7090.30501804925,33.8063987715831
7.5,3600,20.3333333333333,18.3333333333333,6758.91671219822,32.6106013087978
7.5,3600,20.3333333333333,21.6666666666667,6454.28211575085,31.6018801683186
7.5,3600,20.3333333333333,25,6170.84370618111,30.4822471085322
7.5,3600,22.6666666666667,15,6855.10029019203,32.9448808912546
7.5,3600,22.6666666666667,18.3333333333333,6541.80638042999,31.815751583892
7.5,3600,22.6666666666667,21.6666666666667,6255.92474157518,30.7836886100658
7.5,3600,22.6666666666667,25,5953.86415760576,29.818059405598
7.5,3600,25,15,6632.01726882801,32.1550570526375
7.5,3600,25,18.3333333333333,6338.08201098493,31.0843798778567
7.5,3600,25,21.6666666666667,6048.01735677096,30.2411088460552
7.5,3600,25,25,5720.49655515591,29.1714664175711
7.5,3800,18,15,7715.05932363305,35.4187470923127
7.5,3800,18,18.3333333333333,7346.60974026109,34.1448695325985
7.5,3800,18,21.6666666666667,7001.66719663333,32.9999999491327
7.5,3800,18,25,6682.39008810199,32.0524753662895
7.5,3800,20.3333333333333,15,7453.80434238106,34.5154996378921
7.5,3800,20.3333333333333,18.3333333333333,7101.45896352355,33.3454339368903
7.5,3800,20.3333333333333,21.6666666666667,6774.38865357488,32.3629795863449
7.5,3800,20.3333333333333,25,6473.79573481515,31.1959715231971
7.5,3800,22.6666666666667,15,7203.63793786822,33.68392393102
7.5,3800,22.6666666666667,18.3333333333333,6868.83140620175,32.5728678389279
7.5,3800,22.6666666666667,21.6666666666667,6560.23582856626,31.6088906200651
7.5,3800,22.6666666666667,25,6275.91830899231,30.5352150517514
7.5,3800,25,15,6965.87960602365,32.9034501250805
7.5,3800,25,18.3333333333333,6649.07365721649,31.8216184520937
7.5,3800,25,21.6666666666667,6359.65825357336,30.8111653117408
7.5,3800,25,25,6063.48101816828,29.9356162568377
7.5,4000,18,15,8101.71627703766,36.0942918495633
7.5,4000,18,18.3333333333333,7712.93226519838,34.8355250299005
7.5,4000,18,21.6666666666667,7347.93993009086,33.6803607762238
7.5,4000,18,25,7007.51812533593,32.6034109369034
7.5,4000,20.3333333333333,15,7826.21997921127,35.1937128750053
7.5,4000,20.3333333333333,18.3333333333333,7453.94989440608,34.0040181372601
7.5,4000,20.3333333333333,21.6666666666667,7105.99036085869,33.0230691561672
7.5,4000,20.3333333333333,25,6783.78019461517,31.9040176614932
7.5,4000,22.6666666666667,15,7562.31317532364,34.3481737358428
7.5,4000,22.6666666666667,18.3333333333333,7206.88575181795,33.3392965326767
7.5,4000,22.6666666666667,21.6666666666667,6876.95230961901,32.2691693179886
7.5,4000,22.6666666666667,25,6573.30844546869,31.2111991148854
7.5,4000,25,15,7309.90634138221,33.5697167418859
7.5,4000,25,18.3333333333333,6972.30148156251,32.6219155180696
7.5,4000,25,21.6666666666667,6660.69408356911,31.6154651245511
7.5,4000,25,25,6375.44144313388,30.7441585774301
8.4,3000,18,15,6934.43905013451,31.7626068836024
8.4,3000,18,18.3333333333333,6609.45051913006,30.4109877639396
8.4,3000,18,21.6666666666667,6313.22354518288,29.2847027248242
8.4,3000,18,25,6000.52904450446,28.3163496767001
8.4,3000,20.3333333333333,15,6702.80600295988,30.7667198470104
8.4,3000,20.3333333333333,18.3333333333333,6397.65003163761,29.6152066249384
8.4,3000,20.3333333333333,21.6666666666667,6098.51716786929,28.5607199364411
8.4,3000,20.3333333333333,25,5753.36421040386,27.5796815576747
8.4,3000,22.6666666666667,15,6485.04173026642,29.9526521619171
8.4,3000,22.6666666666667,18.3333333333333,6192.20514633733,28.8605896290222
8.4,3000,22.6666666666667,21.6666666666667,5860.0065174711,27.8714298272784
8.4,3000,22.6666666666667,25,5483.25986993799,27.0997174780088
